symbol,date,close,rsi,macd,sma20
DCMSHRIRAM,2025-05-16,1040.9,52.77,3.93,1029.93
DLF,2025-05-16,715.9,60.66,4.65,677.17
DOMS,2025-05-16,2848.2,55.58,6.6,2811.32
DABUR,2025-05-16,476.65,48.3,-0.06,478.71
DALBHARAT,2025-05-16,2070.1,68.43,7.82,1964.12
DATAPATTNS,2025-05-16,2868.2,78.12,37.64,2301.85
DEEPAKFERT,2025-05-16,1345.1,65.65,0.99,1293.33
DEEPAKNTR,2025-05-16,2110.9,61.94,13.31,1985.72
DELHIVERY,2025-05-16,320.85,69.41,0.89,305.72
DEVYANI,2025-05-16,186.89,66.66,-0.02,176.57
DIVISLAB,2025-05-16,6279.5,62.89,12.59,6052.2
DIXON,2025-05-16,16660.0,61.87,-46.41,16215.05
LALPATHLAB,2025-05-16,2799.6,56.57,-9.22,2788.4
DRREDDY,2025-05-16,1230.7,64.36,6.63,1184.99
EIDPARRY,2025-05-16,960.8,78.65,9.82,860.37
EIHOTEL,2025-05-16,375.2,54.7,-0.53,371.46
EICHERMOT,2025-05-16,5509.5,53.52,-20.95,5548.45
ELECON,2025-05-16,663.25,73.31,7.18,581.25
ELGIEQUIP,2025-05-16,478.55,56.64,3.76,458.91
EMAMILTD,2025-05-16,636.3,56.79,-2.07,630.4
EMCURE,2025-05-16,1064.4,57.67,2.86,1045.0
ENDURANCE,2025-05-16,2214.4,75.08,29.74,1995.92
ENGINERSIN,2025-05-16,193.53,65.79,0.9,181.27
ERIS,2025-05-16,1464.6,54.91,-4.77,1456.19
ESCORTS,2025-05-16,3551.5,66.97,26.72,3342.52
EXIDEIND,2025-05-16,393.05,62.42,1.95,373.75
NYKAA,2025-05-16,201.8,69.64,-0.18,194.56
FEDERALBNK,2025-05-16,199.03,57.11,0.3,195.94
FACT,2025-05-16,881.6,75.23,8.65,787.94
FINCABLES,2025-05-16,961.65,66.29,7.28,896.08
FINPIPE,2025-05-16,191.57,62.83,2.02,178.52
FSL,2025-05-16,368.75,61.98,4.16,345.33
FIVESTAR,2025-05-16,679.2,41.03,-6.2,730.77
FORTIS,2025-05-16,700.05,60.69,1.32,675.44
GAIL,2025-05-16,186.28,52.96,-1.07,188.35
GVT&D,2025-05-16,1771.1,100.0,0.0,1771.1
GMRAIRPORT,2025-05-16,91.07,65.38,-0.1,87.39
